component_id,batch_id,component_family,measurement_name,profile_id,scenario,component_scenario,is_defect,is_healthy,is_tester_fault,anomaly_onset_hour,tester_fault_onset_hour,final_value,true_final_value,is_future_failure,is_observed_final_exceedance,ever_latent_exceedance,upper_limit,data_source,is_synthetic
MLCC_C000062,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0181822601635,0.0182804830206,False,False,False,0.25,synthetic,True
MLCC_C000090,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0194406469978,0.0196872803509,False,False,False,0.25,synthetic,True
MLCC_C000097,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,moisture_associated_history,moisture_associated_history,True,False,False,0,,0.143645277654,0.145637912815,False,False,False,0.25,synthetic,True
MLCC_C000114,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0275575117065,0.0276284246394,False,False,False,0.25,synthetic,True
MLCC_C000273,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0217792781646,0.021850607852,False,False,False,0.25,synthetic,True
MLCC_C000285,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,accelerating_drift,accelerating_drift,True,False,False,0,,0.0646205370548,0.0633749758987,False,False,False,0.25,synthetic,True
MLCC_C000395,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0319705155665,0.0342710257392,False,False,False,0.25,synthetic,True
MLCC_C000434,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0237548766046,0.0239656680186,False,False,False,0.25,synthetic,True
MLCC_C000591,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0223623533902,0.0245320890944,False,False,False,0.25,synthetic,True
MLCC_C000732,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,gradual_drift,gradual_drift,True,False,False,6,,0.121528567348,0.122380417217,False,False,False,0.25,synthetic,True
MLCC_C000733,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0174469209979,0.021186796025,False,False,False,0.25,synthetic,True
MLCC_C000810,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0257261634277,0.0267795999279,False,False,False,0.25,synthetic,True
MLCC_C000954,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,ordinary_noise,ordinary_noise,False,True,False,,,0.0172886893701,0.0192596363559,False,False,False,0.25,synthetic,True
MLCC_C000990,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.020307852181,0.019402569177,False,False,False,0.25,synthetic,True
MLCC_C001055,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,late_abrupt_onset,late_abrupt_onset,True,False,False,120,,0.263834353079,0.261444665516,True,True,True,0.25,synthetic,True
MLCC_C001093,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0225116890314,0.0223921638457,False,False,False,0.25,synthetic,True
MLCC_C001317,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,intermittent_leakage,intermittent_leakage,True,False,False,24,,0.164261570017,0.164540463854,False,False,False,0.25,synthetic,True
MLCC_C001367,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0177988688493,0.0178236449672,False,False,False,0.25,synthetic,True
MLCC_C001487,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,moisture_associated_history,moisture_associated_history,True,False,False,12,,0.154428268364,0.168212887359,False,False,False,0.25,synthetic,True
MLCC_C001539,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,intermittent_leakage,intermittent_leakage,True,False,False,12,,0.118120627196,0.119308785248,False,False,False,0.25,synthetic,True
MLCC_C001548,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0223512266583,0.02303636594,False,False,False,0.25,synthetic,True
MLCC_C001625,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0314844169794,0.031837520407,False,False,False,0.25,synthetic,True
MLCC_C001652,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0266333834558,0.0268592928901,False,False,False,0.25,synthetic,True
MLCC_C001733,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,gradual_drift,gradual_drift,True,False,False,6,,0.311501201,0.31582899141,True,True,True,0.25,synthetic,True
MLCC_C001851,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0392739241215,0.0388923717926,False,False,False,0.25,synthetic,True
MLCC_C001872,MLCC_B002,MLCC_X7R,leakage_ua,SIM_X7R_100N_50V,healthy_settling,healthy_settling,False,True,False,,,0.0196397110106,0.0200200071109,False,False,False,0.25,synthetic,True
